#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   3.80000E+01  2.50000E+02  1.70504E-03  4.265E-05  5.78420E-02  2.483E-04  0.00000E+00  0.000E+00
   3.80000E+01  2.70000E+02  1.70184E-03  4.261E-05  5.75308E-02  2.476E-04  0.00000E+00  0.000E+00
   3.80000E+01  2.90000E+02  1.68797E-03  4.243E-05  5.75270E-02  2.476E-04  0.00000E+00  0.000E+00
   3.80000E+01  3.10000E+02  1.69944E-03  4.258E-05  5.77166E-02  2.480E-04  0.00000E+00  0.000E+00
   3.80000E+01  3.30000E+02  1.71224E-03  4.274E-05  5.78876E-02  2.484E-04  0.00000E+00  0.000E+00
   3.80000E+01  3.50000E+02  1.68104E-03  4.234E-05  5.78316E-02  2.483E-04  0.00000E+00  0.000E+00

   4.20000E+01  1.00000E+01  1.41275E-03  3.724E-05  5.08162E-02  2.232E-04  0.00000E+00  0.000E+00
   4.20000E+01  3.00000E+01  1.45004E-03  3.772E-05  5.07612E-02  2.231E-04  0.00000E+00  0.000E+00
   4.20000E+01  5.00000E+01  1.46157E-03  3.787E-05  5.11177E-02  2.239E-04  0.00000E+00  0.000E+00
   4.20000E+01  7.00000E+01  1.42968E-03  3.746E-05  5.09160E-02  2.235E-04  0.00000E+00  0.000E+00
   4.20000E+01  9.00000E+01  1.44145E-03  3.761E-05  5.10527E-02  2.238E-04  0.00000E+00  0.000E+00
   4.20000E+01  1.10000E+02  1.42060E-03  3.734E-05  5.10797E-02  2.238E-04  0.00000E+00  0.000E+00
   4.20000E+01  1.30000E+02  1.44366E-03  3.764E-05  5.09470E-02  2.235E-04  0.00000E+00  0.000E+00
   4.20000E+01  1.50000E+02  1.42968E-03  3.746E-05  5.11560E-02  2.240E-04  0.00000E+00  0.000E+00
   4.20000E+01  1.70000E+02  1.46035E-03  3.786E-05  5.09001E-02  2.234E-04  0.00000E+00  0.000E+00
   4.20000E+01  1.90000E+02  1.41495E-03  3.726E-05  5.10610E-02  2.238E-04  0.00000E+00  0.000E+00
   4.20000E+01  2.10000E+02  1.39263E-03  3.697E-05  5.09730E-02  2.236E-04  0.00000E+00  0.000E+00
   4.20000E+01  2.30000E+02  1.44513E-03  3.767E-05  5.08822E-02  2.234E-04  0.00000E+00  0.000E+00
   4.20000E+01  2.50000E+02  1.40735E-03  3.716E-05  5.11975E-02  2.241E-04  2.45354E-07  4.907E-07
   4.20000E+01  2.70000E+02  1.42477E-03  3.739E-05  5.11143E-02  2.239E-04  0.00000E+00  0.000E+00
   4.20000E+01  2.90000E+02  1.44047E-03  3.760E-05  5.07433E-02  2.231E-04  0.00000E+00  0.000E+00
