#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT ANGULAR DETECTOR ENERGY SPECTRUM]
# Angular intervals : theta1 =  9.000000E+01,    theta2 =  1.800000E+02
#                        phi1 =  0.000000E+00,    phi2 =  3.600000E+02
# Energy window (eV), energy bins:
#  0.00000E+00  4.05000E+04   200
# Energy spectra of emerging particles (1/(eV*sr*particle)).
#
#             |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  3.45262E+04   2.61928E-06   3.203E-08   6.72847E-10   1.026E-11   0.00000E+00   0.000E+00 
  3.47288E+04   2.58067E-06   3.179E-08   6.39346E-10   1.003E-11   0.00000E+00   0.000E+00 
  3.49312E+04   2.58548E-06   3.182E-08   6.22350E-10   9.898E-12   0.00000E+00   0.000E+00 
  3.51338E+04   2.58303E-06   3.181E-08   5.93687E-10   9.668E-12   0.00000E+00   0.000E+00 
  3.53362E+04   2.55827E-06   3.166E-08   5.62102E-10   9.385E-12   0.00000E+00   0.000E+00 
  3.55388E+04   2.56397E-06   3.169E-08   5.35773E-10   9.167E-12   0.00000E+00   0.000E+00 
  3.57412E+04   2.51809E-06   3.141E-08   5.05096E-10   8.915E-12   0.00000E+00   0.000E+00 
  3.59438E+04   2.49893E-06   3.129E-08   4.65356E-10   8.551E-12   0.00000E+00   0.000E+00 
  3.61462E+04   2.44804E-06   3.097E-08   4.57914E-10   8.518E-12   0.00000E+00   0.000E+00 
  3.63488E+04   2.41916E-06   3.079E-08   4.21171E-10   8.141E-12   0.00000E+00   0.000E+00 
  3.65512E+04   2.41552E-06   3.076E-08   4.10119E-10   8.079E-12   0.00000E+00   0.000E+00 
  3.67538E+04   2.38222E-06   3.055E-08   3.77919E-10   7.738E-12   0.00000E+00   0.000E+00 
  3.69562E+04   2.32101E-06   3.016E-08   3.61439E-10   7.593E-12   0.00000E+00   0.000E+00 
  3.71588E+04   2.29026E-06   2.996E-08   3.27397E-10   7.220E-12   0.00000E+00   0.000E+00 
  3.73612E+04   2.21530E-06   2.946E-08   3.07307E-10   7.002E-12   0.00000E+00   0.000E+00 
  3.75638E+04   2.14152E-06   2.897E-08   2.74248E-10   6.615E-12   0.00000E+00   0.000E+00 
  3.77662E+04   2.10566E-06   2.873E-08   2.58676E-10   6.461E-12   0.00000E+00   0.000E+00 
  3.79688E+04   2.03610E-06   2.825E-08   2.28220E-10   6.062E-12   0.00000E+00   0.000E+00 
  3.81712E+04   1.96085E-06   2.772E-08   2.10708E-10   5.832E-12   0.00000E+00   0.000E+00 
  3.83738E+04   1.86270E-06   2.702E-08   1.83495E-10   5.458E-12   0.00000E+00   0.000E+00 
  3.85762E+04   1.81555E-06   2.668E-08   1.63797E-10   5.154E-12   0.00000E+00   0.000E+00 
  3.87788E+04   1.72821E-06   2.603E-08   1.40071E-10   4.804E-12   0.00000E+00   0.000E+00 
  3.89812E+04   1.66759E-06   2.557E-08   1.12858E-10   4.314E-12   0.00000E+00   0.000E+00 
  3.91838E+04   1.60098E-06   2.506E-08   9.71631E-11   4.042E-12   0.00000E+00   0.000E+00 
  3.93862E+04   1.50077E-06   2.426E-08   7.39776E-11   3.553E-12   0.00000E+00   0.000E+00 
  3.95888E+04   1.46314E-06   2.396E-08   5.14061E-11   2.981E-12   0.00000E+00   0.000E+00 
  3.97912E+04   1.38818E-06   2.334E-08   2.96205E-11   2.270E-12   0.00000E+00   0.000E+00 
  3.99938E+04   1.46383E-06   2.396E-08   8.39984E-12   1.217E-12   0.00000E+00   0.000E+00 
  4.01962E+04   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  4.03988E+04   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
